Vocabulary,FILCH,hide,swindle,drop,steal,covet,4,,1,
Vocabulary,URBANE,crowded,polished,rural,friendly,prominent,2,,1,
Vocabulary,DECANT,bisect,speak wildly,bequeath,pour off,abuse verbally,4,,1,
Vocabulary,ANTITHESIS,contrast,conclusion,resemblance,examination,dislike,1,,1,
Vocabulary,HERETICAL,heathenish,impractical,quaint,rash,unorthodox,5,,1,
Vocabulary,COALESCE,associate,combine,contact,conspire,cover,2,,1,
Vocabulary,CHARLATAN,clown,philanthropist,jester,dressmaker,quack,5,,1,
Vocabulary,GAUCHE,clumsy,stupid,feebleminded,impudent,foreign,1,,1,
Vocabulary,REDUNDANT,necessary,plentiful,sufficient,diminishing,superfluous,5,,1,
Vocabulary,ATROPHY,lose leaves,soften,waste away,grow,spread,3,,1,
Vocabulary,RESILIENCE,submission,elasticity,vigor,determination,recovery,2,,1,
Vocabulary,ANALOGY,similarity,transposition,variety,distinction,appropriateness,1,,1,
Vocabulary,FACETIOUS,obscene,shrewd,impolite,complimentary,witty,5,,1,
Vocabulary,DIATRIBE,debate,monologue,oration,tirade,conversation,4,,1,
Vocabulary,MALEDICTION,curse,mispronunciation,grammatical error,tactless remark,epitaph,1,,1,
Vocabulary,AGGREGATE,result,difference,quotient,product,sum,5,,1,
Vocabulary,APLOMB,caution,timidity,self-assurance,shortsightedness,self-restraint,3,,1,``
Vocabulary,THERAPEUTIC,curative,restful,warm,stimulating,professional,1,,1,
Vocabulary,TRANSMUTE,remove,change,duplicate,carry,explain,2,,1,
Vocabulary,ATTRITION,annihilation,encirclement,counterattack,appeasement,wearing down,5,,1,
Vocabulary,TRUNCATE,divide equally,end swiftly,cutoff,act cruelly,cancel,3,,1,
Vocabulary,OSCILLATE,confuse,kiss,turn,vibrate,whirl,4,,1,
Vocabulary,INOCULATE,make harmless,infect,cure,overcome,darken,2,,1,
Vocabulary,PERUSAL,approval,estimate,reading,translation,computation,3,,1,
Vocabulary,QUERULOUS,peculiar,fretful,inquisitive,shivering,annoying,2,,1,
Vocabulary,AUTONOMY,tyranny,independence,plebiscite,minority,dictatorship,2,,1,
Vocabulary,MACHINATIONS,inventions,ideas,mysteries,plots,alliances,4,,1,
Vocabulary,SCHISM,government,religion,division,combination,coalition,3,,1,
Vocabulary,PUSILLANIMOUS,cowardly,extraordinary,ailing,evil-intentioned,excitable,1,,1,
Vocabulary,TERMINOLOGY,technicality,finality,formality,explanation,nomenclature,5,,1,
Vocabulary,STIPEND,increment,bonus,commission,gift,salary,5,,1,
Vocabulary,LITIGATION,publication,argument,endeavor,lawsuit,ceremony,4,,1,
Vocabulary,FIASCO,disappointment,turning point,loss,celebration,complete failure,5,,1,
Vocabulary,VAGARY,caprice,confusion,extravagance,loss of memory,shiftlessness,1,,1,
Vocabulary,GRAPHIC,serious,concise,short,detailed,vivid,5,,1,
Vocabulary,CONNOTATION,implication,footnote,derivation,comment,definition,1,,1,
Vocabulary,TORTUOUS,crooked,difficult,painful,impassable,slow,1,,1,
Vocabulary,FULMINATING,throbbing,pointed,wavelike,thundering,bubbling,4,,1,
Vocabulary,CIRCUMVENT,freshen,change,control,harass,frustrate,5,,1,
Vocabulary,CARTEL,rationing plan,world government,industrial pool,skilled craft,instrument of credit,3,,1,
Vocabulary,PROLIFIC,meager,obedient,fertile,hardy,scanty,3,,1,
Vocabulary,ASSUAGE,create,ease,enlarge,prohibit,rubout,2,,1,
Vocabulary,DECORUM,wit,charm,adornment,seemliness,charity,4,,1,
Vocabulary,PHLEGMATIC,tolerant,careless,sensitive,stolid,sick,4,,1,
Vocabulary,INTREPID,quick-witted,brutal,fearless,torrid,hearty,3,,1,
Vocabulary,ACTUATE,frighten,direct,isolate,dismay,impel,5,,1,
Vocabulary,MOUNTEBANK,trickster,courier,scholar,cashier,pawnbroker,1,,1,
Vocabulary,LACONIC,terse,informal,convincing,interesting,tedious,1,,1,
Vocabulary,BOORISH,sporting,tiresome,argumentative,monotonous,rude,5,,1,
Vocabulary,ERUDITE,modest,egotistical,learned,needless,experienced,3,,1,
Vocabulary,ACRIMONIOUS,repulsive,enchanting,stinging,snobbish,disgusting,3,,1,
Vocabulary,EMBRYONIC,hereditary,arrested,developed,functioning,rudimentary,5,,1,
Vocabulary,INEXORABLE,unfavorable,permanent,crude,relentless,incomplete,4,,1,
Vocabulary,PROTRACTED,boring,condensed,prolonged,comprehensive,measured,3,,1,
Vocabulary,OBSEQUIOUS,courteous,fawning,respectful,overbearing,inexperienced,2,,1,
Vocabulary,LOQUACIOUS,queer,logical,gracious,rural,voluble,5,,1,
Vocabulary,PUGNACIOUS,bold,combative,brawny,pug-nosed,valiant,2,,1,
Vocabulary,ASTRINGENT,bossy,musty,flexible,corrosive,contracting,5,,1,
Vocabulary,ESCARPMENT,threat,limbo,cliff,behemoth,blight,3,,1,
Vocabulary,AMENITIES,prayers,ceremonies,pageantries,pleasantries,social functions,4,,1,
Vocabulary,DEPLORE,condone,forget,forgive,deny,regret,5,,1,
Vocabulary,BANAL,commonplace,flippant,pathetic,new,unexpected,1,,1,
