Synonyms,FILCH,hide,swindle,drop,steal,covet,4,none
Synonyms,URBANE,crowded,polished,rural,friendly,prominent,2,none
Synonyms,DECANT,bisect,speak wildly,bequeath,pour off,abuse verbally,4,none
Synonyms,ANTITHESIS,contrast,conclusion,resemblance,examination,dislike,1,none
Synonyms,HERETICAL,heathenish,impractical,quaint,rash,unorthodox,5,none
Synonyms,COALESCE,associate,combine,contact,conspire,cover,2,none
Synonyms,CHARLATAN,clown,philanthropist,jester,dressmaker,quack,5,none
Synonyms,GAUCHE,clumsy,stupid,feebleminded,impudent,foreign,1,none
Synonyms,REDUNDANT,necessary,plentiful,sufficient,diminishing,superfluous,5,none
Synonyms,ATROPHY,lose leaves,soften,waste away,grow,spread,3,none
